Predator 2  Mel Gibson  6.1
Lethal Weapon 3  Paul Verhoeven  6.6
Alien  Mel Gibson  8.5
Mad Max Beyond Thunderdome  John McTiernan  6.1
Lethal Weapon 3  Jonathan Mostow  6.6
Predator  Ridley Scott  7.8
RoboCop  George Ogilvie  7.5
Predator  Mark L. Lester  7.8
Lethal Weapon 2  George P. Cosmatos  7.1
Rambo: First Blood Part II  Mel Gibson  6.2
The Terminator  Paul Verhoeven  8.1
Aliens  John McTiernan  8.5
Mad Max 2  Paul Verhoeven  7.6
Mad Max Beyond Thunderdome  Paul Verhoeven  6.1
Alien  George Ogilvie  8.5
Rambo III  Jonathan Mostow  5.4
Terminator 3: Rise of the Machines  Paul Verhoeven  6.4
Lethal Weapon 3  George Miller  6.6
The Terminator  Mel Gibson  8.1
Mad Max 2  John McTiernan  7.6
Alien  George Miller  8.5
Rambo: First Blood Part II  George Ogilvie  6.2
Lethal Weapon 2  Ted Kotcheff  7.1
Mad Max Beyond Thunderdome  Mark L. Lester  6.1
Predator 2  George Miller  6.1
First Blood  George Miller  7.6
Mad Max Beyond Thunderdome  Ridley Scott  6.1
RoboCop  Mel Gibson  7.5
Terminator 3: Rise of the Machines  George P. Cosmatos  6.4
The Terminator  George Ogilvie  8.1
Predator 2  John McTiernan  6.1
Terminator 3: Rise of the Machines  Peter MacDonald  6.4
Mad Max  Mark L. Lester  7
Terminator 3: Rise of the Machines  Stephen Hopkins  6.4
Mad Max Beyond Thunderdome  George P. Cosmatos  6.1
Mad Max  Ridley Scott  7
RoboCop  George Miller  7.5
Lethal Weapon 2  Peter MacDonald  7.1
Die Hard  George Ogilvie  8.3
Rambo: First Blood Part II  Paul Verhoeven  6.2
Lethal Weapon 2  Stephen Hopkins  7.1
Terminator 3: Rise of the Machines  Jonathan Mostow  6.4
Rambo III  George Ogilvie  5.4
Lethal Weapon 3  George Ogilvie  6.6
The Terminator  Mark L. Lester  8.1
RoboCop  Peter MacDonald  7.5
Alien  Paul Verhoeven  8.5
Aliens  Mel Gibson  8.5
The Terminator  Ridley Scott  8.1
Lethal Weapon  Stephen Hopkins  7.6
Predator 2  Paul Verhoeven  6.1
RoboCop  Stephen Hopkins  7.5
Lethal Weapon  Peter MacDonald  7.6
First Blood  Paul Verhoeven  7.6
Commando  Jonathan Mostow  6.5
Braveheart  Ridley Scott  8.4
RoboCop  Paul Verhoeven  7.5
Commando  Stephen Hopkins  6.5
Commando  Peter MacDonald  6.5
Die Hard  Mel Gibson  8.3
RoboCop  Jonathan Mostow  7.5
Predator 2  Richard Donner  6.1
Braveheart  Mark L. Lester  8.4
Rambo: First Blood Part II  George Miller  6.2
Mad Max 2  Ted Kotcheff  7.6
Mad Max 2  Mel Gibson  7.6
Mad Max  George Ogilvie  7
Die Hard  Paul Verhoeven  8.3
Predator 2  Ted Kotcheff  6.1
Rambo: First Blood Part II  Ted Kotcheff  6.2
RoboCop  John McTiernan  7.5
Lethal Weapon  James Cameron  7.6
Rambo III  George P. Cosmatos  5.4
Lethal Weapon  Jonathan Mostow  7.6
Commando  James Cameron  6.5
Lethal Weapon 3  Mark L. Lester  6.6
Mad Max 2  George Ogilvie  7.6
Lethal Weapon 3  Ridley Scott  6.6
Lethal Weapon 2  Richard Donner  7.1
Terminator 2: Judgment Day  George P. Cosmatos  8.6
Braveheart  George Miller  8.4
Terminator 2: Judgment Day  Ridley Scott  8.6
Predator 2  James Cameron  6.1
Lethal Weapon  Richard Donner  7.6
RoboCop  Richard Donner  7.5
Mad Max  George P. Cosmatos  7
Die Hard  George Miller  8.3
Terminator 2: Judgment Day  Mark L. Lester  8.6
Die Hard  John McTiernan  8.3
Braveheart  Paul Verhoeven  8.4
Mad Max Beyond Thunderdome  George Ogilvie  6.1
Commando  Richard Donner  6.5
Terminator 3: Rise of the Machines  George Ogilvie  6.4
Terminator 2: Judgment Day  George Ogilvie  8.6
Rambo III  Mark L. Lester  5.4
Rambo III  Ridley Scott  5.4
Alien  Ted Kotcheff  8.5
Lethal Weapon 2  James Cameron  7.1
Terminator 2: Judgment Day  George Miller  8.6
Lethal Weapon 3  George P. Cosmatos  6.6
Mad Max Beyond Thunderdome  Jonathan Mostow  6.1
Mad Max  Ted Kotcheff  7
Die Hard  Jonathan Mostow  8.3
Terminator 3: Rise of the Machines  George Miller  6.4
Die Hard  James Cameron  8.3
Braveheart  George P. Cosmatos  8.4
Commando  John McTiernan  6.5
Mad Max  Stephen Hopkins  7
Mad Max Beyond Thunderdome  Peter MacDonald  6.1
RoboCop  Ted Kotcheff  7.5
Predator  George P. Cosmatos  7.8
Mad Max Beyond Thunderdome  Stephen Hopkins  6.1
Mad Max  Peter MacDonald  7
Die Hard  Peter MacDonald  8.3
Aliens  Ted Kotcheff  8.5
Rambo: First Blood Part II  Ridley Scott  6.2
Lethal Weapon  John McTiernan  7.6
Die Hard  Stephen Hopkins  8.3
Rambo: First Blood Part II  Mark L. Lester  6.2
Rambo III  Ted Kotcheff  5.4
Terminator 3: Rise of the Machines  Ridley Scott  6.4
Lethal Weapon 2  John McTiernan  7.1
Braveheart  Ted Kotcheff  8.4
Terminator 2: Judgment Day  Peter MacDonald  8.6
Terminator 2: Judgment Day  Stephen Hopkins  8.6
Mad Max 2  Ridley Scott  7.6
Braveheart  George Ogilvie  8.4
Die Hard  Ted Kotcheff  8.3
Mad Max 2  Mark L. Lester  7.6
Terminator 3: Rise of the Machines  Mark L. Lester  6.4
Terminator 2: Judgment Day  Paul Verhoeven  8.6
Aliens  Richard Donner  8.5
Rambo III  Stephen Hopkins  5.4
RoboCop  James Cameron  7.5
Aliens  James Cameron  8.5
First Blood  Mel Gibson  7.6
Braveheart  Jonathan Mostow  8.4
Rambo III  Peter MacDonald  5.4
Terminator 2: Judgment Day  James Cameron  8.6
Commando  Mel Gibson  6.5
Aliens  Jonathan Mostow  8.5
Rambo III  James Cameron  5.4
Predator 2  George P. Cosmatos  6.1
Mad Max  Richard Donner  7
Lethal Weapon 2  Paul Verhoeven  7.1
Die Hard  Richard Donner  8.3
Alien  George P. Cosmatos  8.5
Lethal Weapon  Mel Gibson  7.6
Lethal Weapon 2  Jonathan Mostow  7.1
Terminator 2: Judgment Day  Richard Donner  8.6
Terminator 2: Judgment Day  Jonathan Mostow  8.6
Lethal Weapon 2  Mel Gibson  7.1
Predator  Stephen Hopkins  7.8
Predator  Peter MacDonald  7.8
Alien  Mark L. Lester  8.5
Predator 2  Jonathan Mostow  6.1
Aliens  Stephen Hopkins  8.5
Alien  Ridley Scott  8.5
Rambo: First Blood Part II  George P. Cosmatos  6.2
Aliens  Peter MacDonald  8.5
First Blood  John McTiernan  7.6
Lethal Weapon 3  Stephen Hopkins  6.6
Mad Max  James Cameron  7
Predator 2  Stephen Hopkins  6.1
Rambo III  Richard Donner  5.4
Predator 2  Peter MacDonald  6.1
The Terminator  George P. Cosmatos  8.1
Braveheart  Stephen Hopkins  8.4
Terminator 2: Judgment Day  Ted Kotcheff  8.6
Lethal Weapon 2  George Miller  7.1
Braveheart  Peter MacDonald  8.4
Lethal Weapon 3  Peter MacDonald  6.6
